,source_term,mapped_term,confidence_score
0,accessequipmentid,issuingstatus,0.9999999403953552
1,accessequipmentid,refaccesssystemitem,0.8725844224294027
2,accessequipmentid,tokenid,0.8177527189254761
3,additionalentry,cancellationmessage,1.0
4,arrivaltime,planneddeparture,0.9254232247670492
5,arrivaltime,duration,0.8881348371505737
6,arrivaltime,routelinksegmentnumber,0.8881348371505737
7,boardingposition,metaroute,1.0
8,boardingposition,metaroute,1.0
9,boardingposition,stopplace,0.8469547033309937
10,boardingpositionid,metaroute,1.0
11,boardingpositionid,stopplace,0.8469547033309937
12,boardingpositionid,intermediatestopplace,0.8330406546592712
13,borderpoint,minimumconnectiontime,0.8745132088661194
14,borderpoint,onlinebooking,0.8745132088661194
15,borderpoint,timeunit,0.8745132088661194
16,borderpointcode,locationname,1.0
17,borderpointcode,code,0.8570752143859863
18,borderpointcode,codetype,0.8218490282694498
19,changepoint,journey,0.9999999403953552
20,changepoint,optionvalue,0.9999999403953552
21,changepoint,eventdatetime,0.8795569737752279
22,checkintime,onlinebooking,1.0
23,checkintime,planneddeparture,1.0
24,checkintime,minimumconnectiontime,0.8748631477355957
25,coachid,userid,0.8071309725443522
26,coachid,bankid,0.7566483020782471
27,coachid,onlinebooking,0.64336097240448
28,compartmentid,userid,0.8123230934143066
29,compartmentid,bankid,0.758278489112854
30,compartmentlengthpos,radius,0.8217144012451172
31,compartmentlengthpos,routelinksegmentnumber,0.8217144012451172
32,connection,reftriplestoreconnection,1.0
33,connection,endpoint,0.7717953324317932
34,connectiontime,directtraveltype,1.0
35,connectiontime,faretype,1.0
36,connectiontime,mileage,1.0
37,datetime,atstopplace,1.0000001192092896
38,datetime,stopplace,1.0000001192092896
39,datetime,destination,1.0
40,description,contractreference,1.0
41,description,reference,1.0
42,description,classtype,0.9999998807907104
43,destination,endpoint,1.0
44,destination,endstopplace,1.0
45,destination,journey,1.0
46,displacement,frequency,0.6932779458852915
47,duration,routelinksegmentnumber,0.9999999403953552
48,duration,duration,0.9434099833170573
49,duration,timezoneoffset,0.9089463949203491
50,effectivedeparture,responsetext,1.0
51,effectivedeparture,plannedarrival,0.8574918508529663
52,effectivedeparture,planneddeparture,0.806590461730957
53,experiencedoverallchangetime,value,1.0
54,experiencedoverallchangetime,datetime,0.8691751480102539
55,experiencedoverallchangetime,timeunit,0.8666054725646972
56,externalid,internalreference,0.8445264816284179
57,externalid,bankid,0.7450506687164307
58,externalid,userid,0.6921317100524902
59,floorid,bankid,0.7819494009017944
