,source_term,mapped_term,confidence_score
0,accessequipmentid,endpoint,0.673661285976194
1,accessequipmentid,entitlementid,0.6595527798521752
2,accessequipmentid,accesssystemid,0.6580964742284833
3,acronym,format,0.6733628815295649
4,acronym,messagetitle,0.6428251079484528
5,acronym,filename,0.6406651178995768
6,additionalentry,plannedarrival,0.6070016622543335
7,additionalentry,fareruledescription,0.6066056803653115
8,additionalentry,faretype,0.6028240948188596
9,arrivaltime,startdatetime,0.6794242858886719
10,arrivaltime,datetime,0.6706892830984933
11,arrivaltime,statisticsstarttime,0.665853787774909
12,boardingposition,busstop,0.6608255513509115
13,boardingposition,passengerid,0.6577878793080648
14,boardingposition,tramstop,0.6576311516039299
15,boardingpositionid,passengerid,0.6631168141084559
16,boardingpositionid,availableclass,0.6438480218251547
17,boardingpositionid,rollmenu,0.6292933633882706
18,borderpoint,planneddeparture,0.6400669097900391
19,borderpoint,datetime,0.5982078075408935
20,borderpoint,validityenddate,0.5878675778706869
21,borderpointcode,code,0.6406985521316528
22,borderpointcode,providercode,0.6401121139526367
23,borderpointcode,equipmentcode,0.6272930732140174
24,carbonfootprint,seat,0.6523305814560145
25,carbonfootprint,weatherinfo,0.6455176002100894
26,carbonfootprint,deviceinfo,0.6145192100888207
27,center,hasnextroutelink,0.5783385293824332
28,center,quay,0.5774593883090549
29,center,postsalesprocess,0.5723810195922852
30,changepoint,platformchange,0.6319369389460637
31,changepoint,bookingelement,0.6213107790265765
32,changepoint,kpiscoring,0.6136326789855957
33,checkintime,startdatetime,0.6454580426216125
34,checkintime,validitystartdate,0.6334048184481534
35,checkintime,datetime,0.6305464302621236
36,coachid,productname,0.631531509698606
37,coachid,userid,0.6312236283954821
38,coachid,contactinfo,0.6139349407619901
39,compartmentid,userid,0.6280542612075806
40,compartmentid,bankid,0.6245268228891734
41,compartmentid,equipmentcode,0.6096411618319425
42,compartmentlengthpos,radius,0.625476179451778
43,compartmentlengthpos,minimumconnectiontime,0.581109619140625
44,compartmentlengthpos,codevalue,0.5784007708231608
45,compartmentwidthpos,errormessage,0.6505805253982544
46,compartmentwidthpos,radius,0.6202038764953614
47,compartmentwidthpos,messageobject,0.6140528917312622
48,connection,assetmanageraction,0.6291842460632324
49,connection,graphiri,0.628856086730957
50,connection,graph,0.6283589709888805
51,connectiontime,departure,0.682271975562686
52,connectiontime,journeydestination,0.6604150059711502
53,connectiontime,referencepassenger,0.658353188458611
54,datetime,entitlementid,0.6682377656300863
55,datetime,quotation,0.6623519659042358
56,datetime,fareproductevent,0.6548155466715495
57,description,detailedquotation,0.6191715411285856
58,description,locationcode,0.6060299873352051
59,description,prmtypetype,0.6031151294708252
60,destination,destination,0.6979616248089334
61,destination,journeydestination,0.6726612437855114
62,destination,origin,0.6619851661450935
63,displacement,frequency,0.6418508911132812
64,displacement,radius,0.5755878595205454
65,displacement,latitude,0.5676824569702148
66,duration,duration,0.7292783080028886
67,duration,timestamp,0.677044934565478
68,duration,timezoneoffset,0.6175486246744791
69,effectivedeparture,minimumconnectiontime,0.6374809069511218
70,effectivedeparture,planneddeparture,0.6231842760769826
71,effectivedeparture,algorithm,0.6192436672392345
72,experiencedoverallchangetime,validitystartdate,0.6057681083679199
73,experiencedoverallchangetime,statisticaldataprovidercode,0.5915886163711548
74,experiencedoverallchangetime,planneddeparture,0.5887369513511658
75,externalid,userid,0.6573140214129192
76,externalid,bankid,0.6221972498400458
77,externalid,timeunit,0.6136432315992273
78,floorid,contactinfo,0.6191440665203592
79,floorid,userid,0.6151578964725617
80,floorid,productname,0.6040474947761086
81,footpathequipmentid,issuingstatus,0.6252855062484741
82,footpathequipmentid,equipment,0.6100520811219147
83,footpathequipmentid,entitlementid,0.605282211303711
84,genericstatus,paymentstatus,0.7692378759384155
85,genericstatus,returnstatus,0.673842191696167
86,genericstatus,semanticgraphmanager,0.6473881114612926
87,generictextmessage,semanticgraphmanager,0.6972515452991832
88,generictextmessage,ontology,0.6937255859375
89,generictextmessage,sendmessage,0.6776498590858238
90,geopoint,reflocationcode,0.6610002618086965
91,geopoint,reflocationquery,0.655535483846859
92,geopoint,inputmessagemapper,0.6444561004638671
93,guid,alertref,0.6363843092277869
94,guid,mileage,0.623555064201355
95,guid,id,0.6064859628677368
96,height,radius,0.5891738974529764
97,height,latitude,0.5824576786586216
98,height,equipmentcode,0.5793560028076172
99,id,userid,0.6829784192537006
100,id,format,0.6635666835455247
101,id,bankid,0.6509194113991478
102,impairedoverallchangetime,validitystartdate,0.5858417087131076
103,impairedoverallchangetime,duration,0.5829697008486148
104,impairedoverallchangetime,messageobject,0.575554609298706
105,itinerary,itinerary,0.7818184929925043
106,itinerary,itineraryoffer,0.7486142858994745
107,itinerary,entitlement,0.737966520292265
108,key,availabilitysolution,0.7143219123452397
109,key,paymentprogress,0.7121930244641427
110,key,reftransportserviceprovider,0.6634659811715099
111,languageid,endpoint,0.67632998590884
112,languageid,id,0.6713161468505859
113,languageid,retailerid,0.6670099729067319
114,latitude,latitude,0.7849734194643863
115,latitude,longitude,0.714679669111203
116,latitude,locationname,0.5988132953643799
117,lengthpos,radius,0.6417798387243393
118,lengthpos,codevalue,0.6030139327049255
119,lengthpos,codetype,0.5813067224290636
120,linkpath,refroutelink,0.6884316837086397
121,linkpath,logicaltopology,0.6732151455349392
122,linkpath,routelink,0.6657872150853738
123,longitude,longitude,0.766628918347058
124,longitude,latitude,0.7146798158303286
125,longitude,locationname,0.6759438514709473
126,meanoverallchangetime,datetime,0.6283035808139377
127,meanoverallchangetime,model,0.6164738150203929
128,meanoverallchangetime,enddatetime,0.6120335578918457
129,mobilityaidtypeid,accesssystemid,0.6358433398571643
130,mobilityaidtypeid,reftoifresourceapproval,0.6318049430847168
131,mobilityaidtypeid,id,0.6285645484924316
132,name,errorname,0.7076892852783203
133,name,name,0.6877578344100561
134,name,preferencename,0.6723620470832375
135,navigationpoint,departure,0.631664344242641
136,navigationpoint,refstopplacecode,0.6258345383864182
137,navigationpoint,hasnextroutelink,0.6148252973500338
138,onboardservicecategoryid,id,0.634881512872104
139,onboardservicecategoryid,refpaymentmoduleid,0.6220314767625597
140,onboardservicecategoryid,alertref,0.6162356970445165
141,origin,destination,0.6619851083466501
142,origin,origin,0.6599827596586044
143,origin,journeydestination,0.6509523391723633
144,passengeridref,algorithm,0.7464100230823864
145,passengeridref,userid,0.6345015631781684
146,passengeridref,bankid,0.6273355484008789
147,passengerref,algorithm,0.7496435575396101
148,passengerref,minimumconnectiontime,0.6220053354899089
149,passengerref,userpassword,0.6168990135192871
150,pathlinktypeid,networkstatistics,0.6596568822860718
151,pathlinktypeid,id,0.6358703231811523
152,pathlinktypeid,accesssystemid,0.6289160901849921
153,pedestrianpaceid,entryvalidationcap,0.6977194547653198
154,pedestrianpaceid,reftriplestoreconnection,0.633579671382904
155,pedestrianpaceid,issuingstatus,0.6220658620198568
156,placeid,bankid,0.6311196991891572
157,placeid,equipmentcode,0.6185253461201986
158,placeid,userid,0.611648208216617
159,placereference,context,0.6909103393554688
160,placereference,kpievaluation,0.6469651063283285
161,placereference,validationcontext,0.6389014904315655
162,placetypeid,type,0.6374975984746759
163,placetypeid,preferredcarriertype,0.6309541555551382
164,placetypeid,prmtypetype,0.6190340470294563
165,prmsuitable,statisticsendtime,0.6412404775619507
166,prmsuitable,statisticsstarttime,0.6412404775619507
167,prmsuitable,paymentinformation,0.6107957546527569
168,region,regionalrailstation,0.6287178626427283
169,region,airtransport,0.6150935888290405
170,region,ancillaryservice,0.6090751886367798
171,routetypeid,id,0.6439746574119285
172,routetypeid,preferredcarriertype,0.6405520262541594
173,routetypeid,refpaymentmoduleid,0.6383375967702558
174,safetyequipmentid,equipment,0.6571587057674633
175,safetyequipmentid,salescondition,0.625602126121521
176,safetyequipmentid,entitlementstatus,0.6101457595825195
177,scheduledstoppoint,individualtransport,0.6550617218017578
178,scheduledstoppoint,departure,0.6483110521660477
179,scheduledstoppoint,stopplacecode,0.6479090706246798
180,scheduledstoppointid,stopplacecode,0.6504870732625325
181,scheduledstoppointid,refstopplace,0.6448635410618138
182,scheduledstoppointid,refstopplacecode,0.6447327557732078
183,segment,segment,0.9057271657896436
184,segment,startingat,0.8388615001331676
185,segment,atstopplace,0.7125002774325284
186,segmentidref,algorithm,0.7145718810378864
187,segmentidref,userid,0.6217922999941069
188,segmentidref,bankid,0.6179855346679688
189,segmentref,algorithm,0.74049058745179
190,segmentref,messageobject,0.6136237382888794
191,segmentref,longitude,0.6114682878766741
192,serviceavailabilityid,transportserviceproviderid,0.653176516578311
193,serviceavailabilityid,journeyorigin,0.6423131769353693
194,serviceavailabilityid,travelexpertid,0.6290305808738426
195,servicebrandid,endpoint,0.6528805494308472
196,servicebrandid,provideridentity,0.6390200257301331
197,servicebrandid,customerid,0.6328209638595581
198,servicemodeid,transportserviceproviderid,0.6684989166259766
199,servicemodeid,travelexpertid,0.652264235855697
200,servicemodeid,journeyorigin,0.6511855602264405
201,servicetypeid,id,0.64042156845776
202,servicetypeid,transportserviceproviderid,0.6329387664794922
203,servicetypeid,journeyorigin,0.6280800012441782
204,srsname,activityname,0.6662952899932861
205,srsname,errorname,0.6618083715438843
206,srsname,preferencename,0.6386548389088024
207,start,statisticsstarttime,0.6297847202845982
208,start,statisticsendtime,0.6198756835039925
209,start,customerfeedback,0.6125101229039634
210,status,approvalstatus,0.6485673359462193
211,status,status,0.6435038001791945
212,status,paymentstatus,0.6370598475138346
