,source_term,mapped_term,confidence_score
0,accessequipmentid,passengerid,0.711559534072876
1,accessequipmentid,itineraryofferid,0.7109690393720355
2,accessequipmentid,retailerid,0.7088088989257812
3,acronym,linename,0.5373386740684509
4,additionalentry,genericoption,0.5662801265716553
5,additionalentry,locationsqueryresponse,0.5661123991012573
6,additionalentry,offersqueryresponse,0.5661123991012573
7,aidbookable,offeritemprovider,0.6497721076011658
8,aidbookable,salesconditionsdescription,0.6289396286010742
9,aidbookable,paymentinformation,0.6268165111541748
10,arrivaltime,enddatetime,0.7565021514892578
11,arrivaltime,timeunit,0.7435705661773682
12,arrivaltime,minimumelapsedtraveltime,0.7431955337524414
13,boardingposition,userrole,0.5732604265213013
14,boardingposition,userrole,0.5732604265213013
15,boardingposition,passengerid,0.541175901889801
16,boardingpositionid,validwithin,0.7324641942977905
17,boardingpositionid,itineraryofferid,0.7111397385597229
18,boardingpositionid,retailerid,0.7092006471421983
19,borderpoint,transportationserviceprovidername,0.6264665126800537
20,borderpoint,transportationservicecode,0.5741063356399536
21,borderpoint,transportationserviceprovidercode,0.5741063356399536
22,borderpointcode,statisticaldataprovidercode,0.744249165058136
23,borderpointcode,transportserviceprovidercode,0.736564040184021
24,borderpointcode,travelexpertcode,0.7278940081596375
25,carbonfootprint,individualtransport,0.591006338596344
26,carbonfootprint,transportationservice,0.591006338596344
27,carbonfootprint,urbantransport,0.5786780118942261
28,center,forfacility,0.6483915035541241
29,center,destination,0.6400108933448792
30,center,seattype,0.5531283617019653
31,changepoint,platformchange,0.6590945434570312
32,checkintime,enddatetime,0.7473226388295492
33,checkintime,timeunit,0.7343909740447998
34,checkintime,minimumelapsedtraveltime,0.734015941619873
35,co2emission,mileage,0.5148422718048096
36,co2unit,mileage,0.5178351998329163
37,coachid,bankid,0.7159250047471788
38,coachid,userid,0.6617323954900106
39,coachid,datetime,0.6363699436187744
40,compartmentid,bankid,0.7135744094848633
41,compartmentid,userid,0.6624132394790649
42,compartmentid,datetime,0.6363699436187744
43,compartmentlengthpos,duration,0.6385973691940308
44,compartmentlengthpos,model,0.5228815674781799
45,compartmentlengthpos,tappingmoduleversion,0.5027339458465576
46,compartmentwidthpos,duration,0.5557835102081299
47,compartmentwidthpos,radius,0.5510689616203308
48,compartmentwidthpos,frequency,0.5348938161676581
49,connection,refroutelink,0.667730967203776
50,connection,forroutelink,0.6576167274923885
51,connection,nextroutelink,0.6514185176176184
52,connectiontime,refroutelink,0.730233907699585
53,connectiontime,forroutelink,0.7141770883039995
54,connectiontime,nextroutelink,0.704597993330522
55,datetime,offeredproduct,0.6456611156463623
56,datetime,accesssystemid,0.6363699436187744
57,datetime,customerid,0.6363699436187744
58,description,fareproductdescription,0.6710901790195041
59,description,detailedquotation,0.6642678380012512
60,description,globalquotation,0.6409045457839966
61,destination,journeydestination,0.6828255426316034
62,destination,metajourneydestination,0.6801325798034668
63,destination,destination,0.6713000370905949
64,distid,datetime,0.6363699436187744
65,distid,eventdatetime,0.6363699436187744
66,distid,validitystartdate,0.6363699436187744
67,duration,duration,0.6830210995364498
68,duration,minimumconnectiontime,0.5241613388061523
69,duration,frequency,0.5162652333577474
70,effectivedeparture,wishedarrivaldate,0.6758954741738059
71,effectivedeparture,wisheddeparturedate,0.6745567321777344
72,effectivedeparture,planneddeparture,0.6649545563591851
73,experiencedoverallchangetime,enddatetime,0.7353367805480957
74,experiencedoverallchangetime,timeunit,0.722405195236206
75,experiencedoverallchangetime,statisticsstarttime,0.7069927056630453
76,externalid,bankid,0.6675551732381185
77,externalid,internalreference,0.6453589797019958
78,externalid,datetime,0.6363699436187744
79,floorid,bankid,0.6979377919977362
80,floorid,userid,0.6549160821097237
81,floorid,datetime,0.6363699436187744
82,footpathequipmentid,refbookingorchestratorid,0.6869228680928549
83,footpathequipmentid,passengerid,0.6753987312316895
84,footpathequipmentid,retailerid,0.6737457275390625
85,genericstatus,validationstatus,0.7570149898529053
86,genericstatus,bookingstatus,0.7316571474075317
87,genericstatus,issuingstatus,0.714104175567627
88,generictextmessage,messageref,0.7202205657958984
89,generictextmessage,reroutingmessage,0.7111370086669921
90,generictextmessage,cancellationmessage,0.689233433116566
91,geopoint,endpoint,0.7097670078277588
92,geopoint,geocoordinates,0.6310735115638146
93,geopoint,geocoordinates,0.6310735115638146
94,guid,reftoifresourceapproval,0.5682579341687655
95,guid,reftravelshopperid,0.5629830837249756
96,guid,downloaduri,0.5411191327231271
97,height,radius,0.58072829246521
98,height,duration,0.5557835102081299
99,id,datetime,0.6363699436187744
100,id,eventdatetime,0.6363699436187744
101,id,validitystartdate,0.6363699436187744
102,impairedoverallchangetime,minimumconnectiontime,0.5529961585998535
103,impairedoverallchangetime,username,0.5468090772628784
104,impairedoverallchangetime,smartdevicerequirements,0.5467609167098999
105,itinerary,bookeditineraryoffer,0.6814015252249581
106,itinerary,itinerary,0.6784999786861359
107,itinerary,itineraryofferitem,0.6756342053413391
108,languageid,itineraryofferid,0.7127805352210999
109,languageid,entitlementid,0.6982758695429022
110,languageid,passengerid,0.6946747779846192
111,latitude,latitude,0.7214749165070362
112,latitude,longitude,0.6314530005821815
113,lengthpos,duration,0.6620521545410156
114,lengthpos,radius,0.5732447504997253
115,lengthpos,timestamp,0.5334146022796631
116,linkpath,nextroutelink,0.7057994495738636
117,linkpath,metaroute,0.7005647023518881
118,linkpath,metaroute,0.7005647023518881
119,longitude,longitude,0.6408126723598426
120,longitude,latitude,0.6314530005821815
121,meanoverallchangetime,enddatetime,0.740168571472168
122,meanoverallchangetime,timeunit,0.7272369066874186
123,meanoverallchangetime,statisticsstarttime,0.7118244171142578
124,mobilityaidtypeid,passengerid,0.698117733001709
125,mobilityaidtypeid,itineraryofferid,0.6959208250045776
126,mobilityaidtypeid,retailerid,0.6956727239820693
127,name,locationname,0.6799971840598367
128,name,commercialname,0.6793388790554471
129,name,bankname,0.6781413004948542
130,navigationpoint,endpoint,0.7028496265411377
131,navigationpoint,individualtransport,0.6042510867118835
132,navigationpoint,transportationservice,0.6042510867118835
133,onboardservicecategoryid,retailerid,0.7049658894538879
134,onboardservicecategoryid,entitlementid,0.7020533349778917
135,onboardservicecategoryid,travelexpertid,0.6948957443237305
136,origin,journeyorigin,0.6860969331529405
137,origin,itineraryorigin,0.6673914867898693
138,origin,origin,0.6653932920643981
139,passengeridref,bankid,0.7032460106743706
140,passengeridref,passengername,0.6717497218738903
141,passengeridref,userid,0.6575963497161865
