,source_term,mapped_term,confidence_score
0,accessequipmentid,in,0.8207348910245028
1,accessequipmentid,inscheme,0.7971952454117704
2,accessequipmentid,vehiclemodeid,0.7624391287811532
3,acronym,layover,0.6714777360882676
4,acronym,date,0.6029845017653245
5,acronym,bordercrossing,0.5918545183681306
6,additionalentry,defaultinterchange,0.7828435736187433
7,additionalentry,timetabledpassingtime,0.759897531556689
8,additionalentry,point,0.7412747936088497
9,arrivaltime,arrivaltime,0.8058554909446023
10,arrivaltime,arrivaldayoffset,0.7967961839407929
11,arrivaltime,waittime,0.7906020482381185
12,boardingposition,boardingposition,0.8482724024244577
13,boardingposition,vehiclejourneylayover,0.7972077929283962
14,boardingposition,vehiclejourney,0.7887147004939308
15,boardingpositionid,in,0.7848841139107696
16,boardingpositionid,inscheme,0.7664910939114153
17,boardingpositionid,vehiclejourney,0.7639308897387079
18,borderpoint,bordercrossing,0.7271105448404948
19,borderpoint,headway,0.6649945179621378
20,borderpoint,departuretime,0.6582718378380884
21,borderpointcode,timinglinkpointsequence,0.6886584881654719
22,borderpointcode,order,0.6713700188530816
23,borderpointcode,headway,0.6598091590695265
24,carbonfootprint,vehicle,0.6355712108122997
25,carbonfootprint,timetabledvehiclejourney,0.6329363042658026
26,carbonfootprint,vehiclejourneylayover,0.6198676891541213
27,center,determinedby,0.68769355419555
28,center,madeupof,0.6822334979191299
29,center,aviewof,0.6803046558514114
30,changepoint,pointinlinksequence,0.8299557078968395
31,changepoint,timingpoint,0.803783006904539
32,changepoint,monitoredvehiclejourney,0.7877845448895919
33,checkintime,available,0.7839802424112956
34,checkintime,waittime,0.7772506209444409
35,checkintime,waitpoint,0.7716295226546358
36,coachid,layover,0.7340754020113905
37,coachid,date,0.6382177408459118
38,coachid,requeststop,0.6233198038736979
39,compartmentid,runtime,0.6663984125310725
40,compartmentid,layover,0.6224509678529889
41,compartmentid,timinglinkpointsequence,0.5879140127272833
42,compartmentlengthpos,maximumheadwayinterval,0.6258482499556108
43,compartmentlengthpos,runtime,0.6217235218394886
44,compartmentlengthpos,minimumheadwayinterval,0.6148521691037897
45,compartmentwidthpos,runtime,0.6006145477294922
46,compartmentwidthpos,maximumheadwayinterval,0.5893186222423207
47,compartmentwidthpos,minimumheadwayinterval,0.5701038697186638
48,connection,passengerconnection,0.7646548069945169
49,connection,aviewof,0.7326512775562745
50,connection,inlinksequence,0.7251855850219726
51,connectiontime,pointinjourneypattern,0.7826852162679037
52,connectiontime,timingpointinjourneypattern,0.7812169603079804
53,connectiontime,stopassignment,0.7802523930867513
54,datetime,onroute,0.7774466522469008
55,datetime,vehiclejourney,0.7672735166943763
56,datetime,passengerjourney,0.7638719702969078
57,description,inlinksequence,0.7963244855896501
58,description,vehiclemodeid,0.7513717777472882
59,description,directiontype,0.7491857985819667
60,destination,trip,0.7976361109205514
61,destination,accessmode,0.756862195332845
62,destination,journeypatternruntime,0.7346455597680462
63,displacement,bordercrossing,0.6298982880332253
64,displacement,runtime,0.5878393438797963
65,displacement,monitored,0.5737264934339021
66,duration,runtime,0.6647280228039449
67,duration,time,0.6479901207817925
68,duration,waittime,0.6415417989095052
69,effectivedeparture,order,0.8444884118954997
70,effectivedeparture,timinglinkpointsequence,0.810089111328125
71,effectivedeparture,timinglinkinjourneypattern,0.7758181863579868
72,experiencedoverallchangetime,waittime,0.755474878736764
73,experiencedoverallchangetime,waitpoint,0.7274825637404984
74,experiencedoverallchangetime,time,0.7029000931427258
75,externalid,runtime,0.804285601150891
76,externalid,timinglinkpointsequence,0.783481061951188
77,externalid,timinglinkinjourneypattern,0.7672044107736635
78,floorid,layover,0.7415024439493815
79,floorid,runtime,0.6673083986554827
80,floorid,requeststop,0.6107518489544208
81,footpathequipmentid,vehiclemodeid,0.7703159426854662
82,footpathequipmentid,in,0.751914851921649
83,footpathequipmentid,inlinksequence,0.7484282816737151
84,genericstatus,pointinlinksequence,0.7627038246343943
85,genericstatus,dynamicstopassignment,0.7589810584202286
86,genericstatus,pointinjourneypattern,0.7530802879012933
87,generictextmessage,direction-type),0.7360769460346808
88,generictextmessage,operatingday,0.704643674353234
89,generictextmessage,linksequence,0.6987077290388205
90,geopoint,pointinlinksequence,0.8240763136178009
91,geopoint,dynamicstopassignment,0.8207882337333742
92,geopoint,inlinksequence,0.8154312007683368
93,guid,vehiclepassingtime,0.64498027535372
94,guid,in,0.6287548477585251
95,guid,vehiclemodeid,0.6222686767578125
96,height,bordercrossing,0.5885139465332031
97,height,maximumheadwayinterval,0.5867054903948749
98,height,scheduledheadwayinterval,0.5811221122741699
99,id,runtime,0.7760463746126033
100,id,layover,0.7274721003760977
101,id,timinglinkinjourneypattern,0.7111247039038288
102,impairedoverallchangetime,waittime,0.7529962713068182
103,impairedoverallchangetime,waitpoint,0.7226587704249791
104,impairedoverallchangetime,time,0.7049502356577728
105,itinerary,scheduledstoppoint,0.8728739840925233
106,itinerary,templateservicejourney,0.7649694395459388
107,itinerary,destinationdisplay,0.7501199184319912
108,key,passengerjourney,0.7368289684427196
109,key,vehiclejourney,0.7359490915506828
110,key,inscheme,0.732218088197314
111,languageid,in,0.7049727568755279
112,languageid,inlinksequence,0.6497965644387638
113,languageid,vehiclemodeid,0.6380230494907924
114,latitude,linename,0.6090039339932528
115,latitude,layover,0.5936594424040421
116,latitude,runtime,0.5790694808959961
117,lengthpos,maximumheadwayinterval,0.7422462745949074
118,lengthpos,scheduledheadwayinterval,0.7413976278649755
119,lengthpos,minimumheadwayinterval,0.7341868243639982
120,linkpath,linksequence,0.8526589259628422
121,linkpath,dynamicstopassignment,0.8409479314630682
122,linkpath,pointinlinksequence,0.8154323357195894
123,longitude,runtime,0.7965686262146501
124,longitude,scheduledheadwayinterval,0.6994587580362955
125,longitude,minimumheadwayinterval,0.6937085469563802
126,meanoverallchangetime,waittime,0.7440843818601498
127,meanoverallchangetime,timelink,0.7274625793961454
128,meanoverallchangetime,waitpoint,0.727100436970339
129,mobilityaidtypeid,timinglinkinjourneypattern,0.8070435326946669
130,mobilityaidtypeid,vehiclemodeid,0.8061865183932722
131,mobilityaidtypeid,inscheme,0.7918906093628939
132,name,linename,0.759542859290257
133,name,bordercrossing,0.5905098342895507
134,name,layover,0.5818446689181858
135,navigationpoint,madeupof,0.8275970900354306
136,navigationpoint,pointinlinksequence,0.8025352541080191
137,navigationpoint,timingpoint,0.7998740514119466
138,onboardservicecategoryid,vehiclemodeid,0.8516785172391529
139,onboardservicecategoryid,inlinksequence,0.814072601066148
140,onboardservicecategoryid,timinglinkinjourneypattern,0.8035569624467329
141,origin,endsconnectiondefault,0.700004789651918
142,origin,originstop,0.6891172985697902
143,origin,aviewof,0.6755122889198575
144,passengeridref,runtime,0.8843885689727531
145,passengeridref,timinglinkpointsequence,0.7868830783308045
146,passengeridref,timinglinkinjourneypattern,0.7776351802605243
147,passengerref,runtime,0.8250321947838649
148,passengerref,flexible,0.7311832427978515
149,passengerref,timinglinkpointsequence,0.7205994549919578
150,pathlinktypeid,inlinksequence,0.858062554982083
151,pathlinktypeid,vehiclemodeid,0.8330015702681108
152,pathlinktypeid,passingtimetimingpoint,0.8311847024712681
153,pedestrianpaceid,timinglinkinjourneypattern,0.7203372987378546
154,pedestrianpaceid,in,0.7104681606950431
155,pedestrianpaceid,destinationdisplay,0.7000004103203782
156,placeid,layover,0.8147570397243027
157,placeid,waittime,0.7402793884277343
158,placeid,timinglinkinjourneypattern,0.7379659879005561
159,placereference,monitoredvehiclejourney,0.8363987315784801
160,placereference,timinglinkinjourneypattern,0.8160780599294615
161,placereference,timingpointinjourneypattern,0.8148188945675684
162,placetypeid,directiontypeold,0.7710090001424154
163,placetypeid,holidaytype,0.758281389872233
164,placetypeid,passingtimetimingpoint,0.7535350578875581
165,prmsuitable,order,0.8343010263994706
166,prmsuitable,timinglinkpointsequence,0.7876574303493027
167,prmsuitable,timinglinkinjourneypattern,0.7792546926451124
168,region,pointinlinksequence,0.8056604684877001
169,region,journeypattern,0.7385502831410553
170,region,timinglink,0.7012673252253327
171,routetypeid,inlinksequence,0.8310277639341749
172,routetypeid,vehiclemodeid,0.8236599126137978
173,routetypeid,passingtimetimingpoint,0.816579519224561
174,safetyequipmentid,in,0.7790356470533639
175,safetyequipmentid,vehiclemodeid,0.7313231791346526
176,safetyequipmentid,inlinksequence,0.7099441269696769
177,scheduledstoppoint,pointinlinksequence,0.8056604684877001
178,scheduledstoppoint,scheduledstoppoint,0.7920611042621707
179,scheduledstoppoint,scheduledstoppoint,0.7920611042621707
180,scheduledstoppointid,scheduledstoppoint,0.8032221518272211
181,scheduledstoppointid,canalight,0.7777404149373373
182,scheduledstoppointid,originstop,0.7551382032491393
183,segment,at,0.9521060029337228
184,segment,startingat,0.8810834017666903
185,segment,defaultinterchange,0.8728739840925233
186,segmentidref,runtime,0.8187125339980953
187,segmentidref,scheduledheadwayinterval,0.765536032432367
188,segmentidref,maximumheadwayinterval,0.7525226183174071
189,segmentref,maximumheadwayinterval,0.7926885431463068
190,segmentref,runtime,0.7906977125435821
191,segmentref,minimumheadwayinterval,0.7849103438952738
192,serviceavailabilityid,timinglinkinjourneypattern,0.8192222532161997
193,serviceavailabilityid,inscheme,0.8112151721292291
194,serviceavailabilityid,journeypatternpoint,0.7849103438952738
195,servicebrandid,onroute,0.881399548743382
196,servicebrandid,on,0.875251391702447
197,servicebrandid,online,0.8424476434376614
198,servicemodeid,inscheme,0.8018008775947508
199,servicemodeid,timinglinkinjourneypattern,0.7970426575211454
200,servicemodeid,passengerjourney,0.779690324767562
201,servicetypeid,vehiclemodeid,0.8246231709630036
202,servicetypeid,inlinksequence,0.8136278262808303
203,servicetypeid,timinglinkinjourneypattern,0.8129025924304301
204,srsname,linename,0.7169257550200155
205,srsname,layover,0.7162755540579804
206,srsname,lastdayoffset,0.6185797471266526
207,start,layover,0.731483081155572
208,start,starttime,0.7244187059073612
209,start,lastdayoffset,0.6871049445972108
210,status,destinationdisplay,0.6271172029426298
211,status,directiontype,0.6121978759765625
212,status,destinationstop,0.6004996526808966
213,stoparea,stoparea,0.8159617576278558
214,stoparea,destinationstop,0.7837439854939778
215,stoparea,vehicle,0.7674413087989101
216,stopareaid,timinglinkinjourneypattern,0.7699924815784801
217,stopareaid,journeypatternpoint,0.7600210520846784
218,stopareaid,scheduledstoppoint,0.7565604596098593
219,stopplace,stopplace,0.8130995064727531
220,stopplace,route,0.7920611042621707
221,stopplace,place,0.7768825814743673
222,stopplaceaccesstypeid,destinationdisplay,0.7829794765503939
223,stopplaceaccesstypeid,journeypatternruntime,0.7723539998708677
224,stopplaceaccesstypeid,journeypatternpoint,0.7694692059981921
225,stopplaceid,scheduledstoppoint,0.783123110936693
226,stopplaceid,vehiclejourneyroute,0.7781080135629197
227,stopplaceid,originstop,0.7631534050250876
228,stopplacename,lastdeparturetime,0.7589298774456156
229,stopplacename,layover,0.7417021679277179
230,stopplacename,linename,0.7136294782654313
231,stopplacetypeid,directiontypeold,0.7737618454364168
232,stopplacetypeid,holidaytype,0.7724653511993156
233,stopplacetypeid,vehiclepassingtime,0.7702241377397017
234,text,available,0.5973246892293295
235,text,runtime,0.5969799122911819
236,text,arrivaltime,0.5871219635009766
237,trainpathtypeid,inlinksequence,0.8269928230727015
238,trainpathtypeid,passingtimetimingpoint,0.819639221695829
239,trainpathtypeid,vehiclemodeid,0.8191533995068763
240,typeid,passingtimetimingpoint,0.797524318222172
241,typeid,vehiclepassingtime,0.7950248402997482
242,typeid,vehiclemodeid,0.7836702835461324
243,value,directiontype,0.7543448440167082
244,value,startingat,0.7304850806874678
245,value,daytypeassignment,0.7217805090029378
246,vehicle,vehicle,0.7341360581659637
247,vehicle,aviewof,0.6908120658822146
248,vehicle,timeband,0.6862938187339089
249,vehicleaccess,pointinlinksequence,0.8056604684877001
250,vehicleaccess,vehicle,0.7887147004939308
251,vehicleaccess,farepointinjourneypattern,0.7697741295680527
252,vehicleaccessareatypeid,vehiclemodeid,0.8283469460227273
253,vehicleaccessareatypeid,journeypatternpoint,0.818889901657735
254,vehicleaccessareatypeid,timinglinkinjourneypattern,0.8167661556527634
255,vehicleid,runtime,0.8007426943097796
256,vehicleid,timinglinkpointsequence,0.7139194835316051
257,vehicleid,timinglinkinjourneypattern,0.7138917940156954
258,vehiclerampsuitable,timinglinkpointsequence,0.8467433708758394
259,vehiclerampsuitable,scheduledheadwayinterval,0.8026873375758652
260,vehiclerampsuitable,runtime,0.7932166737958419
261,waitingtimetypeid,vehiclepassingtime,0.8064299654369512
262,waitingtimetypeid,vehiclemodeid,0.8022776832265303
263,waitingtimetypeid,inlinksequence,0.7946288164924172
264,wheelchairoverallchangetime,available,0.7720524470011393
265,wheelchairoverallchangetime,waittime,0.7633364338520144
266,wheelchairoverallchangetime,waitpoint,0.723960808948078
267,widthpos,maximumheadwayinterval,0.7210635160788511
268,widthpos,minimumheadwayinterval,0.7169731648763021
269,widthpos,scheduledheadwayinterval,0.6923230018144773
