,source_term,mapped_term,confidence_score
0,accessequipmentid,inscheme,0.609146965874566
1,accessequipmentid,inlinksequence,0.6025521596272786
2,accessequipmentid,vehiclemodeid,0.6015243530273438
3,acronym,flexible,0.6003182205286893
4,acronym,timinglinkinjourneypattern,0.5743205282423232
5,acronym,timinglinkpointsequence,0.5653738542036577
6,additionalentry,roadjunction,0.6437560341574929
7,additionalentry,trafficcontrolpoint,0.6230299207899306
8,additionalentry,servicefacilityset,0.609911819984173
9,arrivaltime,arrivaltime,0.6961205222389915
10,arrivaltime,departuretime,0.6729822640467171
11,arrivaltime,waittime,0.6693708458725287
12,boardingposition,boardingposition,0.7383349409727292
13,boardingposition,vehiclejourneypart,0.6902300902087279
14,boardingposition,beaconpoint,0.6818305899243836
15,boardingpositionid,vehiclejourneypart,0.670699265423943
16,boardingpositionid,vehiclejourneyroute,0.6538858219068877
17,boardingpositionid,passengerjourney,0.6497715220731848
18,borderpoint,bordercrossing,0.6875763826592024
19,borderpoint,linenumber,0.6313807169596354
20,borderpoint,order,0.613693836757115
21,borderpointcode,waitpoint,0.6256802479426066
22,borderpointcode,bordercrossing,0.6222639644847197
23,borderpointcode,order,0.5992755889892578
24,carbonfootprint,addressableplace,0.6402305364608765
25,carbonfootprint,servicecalendar,0.5753765106201172
26,carbonfootprint,operator,0.5663628237588065
27,center,trip,0.6071449518203735
28,center,madeupof,0.6030644208801036
29,center,beginsconnection,0.5931232764647644
30,changepoint,pointinlinksequence,0.6767969331769126
31,changepoint,journeypattern,0.6612006187438965
32,changepoint,point,0.6362878799438476
33,checkintime,runtime,0.6545675424429086
34,checkintime,waitpoint,0.6522052142084861
35,checkintime,time,0.6418272654215494
36,coachid,layover,0.6013941235012479
37,coachid,linename,0.5462127327919006
38,coachid,lastdayoffset,0.5458748817443848
39,compartmentid,requeststop,0.5740265528361003
40,compartmentid,bordercrossing,0.5659791827201843
41,compartmentid,available,0.5593845248222351
42,compartmentlengthpos,lastdayoffset,0.611175537109375
43,compartmentlengthpos,maximumheadwayinterval,0.6034000659811085
44,compartmentlengthpos,departuredayoffset,0.5989373127619425
45,compartmentwidthpos,maximumheadwayinterval,0.5969429016113281
46,compartmentwidthpos,departuredayoffset,0.5800456206003824
47,compartmentwidthpos,minimumheadwayinterval,0.5757572568696121
48,connection,passengerconnection,0.6525646332771547
49,connection,vehiclepassingtime,0.6405366063117981
50,connection,timinglink,0.631453900723844
51,connectiontime,headwayjourneygroup,0.6877377319335938
52,connectiontime,stopassignment,0.6789334160940987
53,connectiontime,passengerconnection,0.6778066158294678
54,datetime,day,0.6505163613851969
55,datetime,journeypatternruntime,0.6371932438441685
56,datetime,passengerconnection,0.6333251680646624
57,description,blockpart,0.6466977034492054
58,description,inlinksequence,0.6195068610341925
59,description,endofblock,0.6052723160363678
60,destination,destinationstop,0.64839833281761
61,destination,destinationdisplay,0.6467305013578232
62,destination,trip,0.6413643731011285
63,displacement,runtime,0.5419998645782471
64,displacement,headway,0.539111473981072
65,displacement,scheduledheadwayinterval,0.539111473981072
66,duration,time,0.6357717142476664
67,duration,waittime,0.6128807067871094
68,duration,timelink,0.6113166809082031
69,effectivedeparture,departuretime,0.6431652116186825
70,effectivedeparture,arrivaltime,0.6260319835734818
71,effectivedeparture,waittime,0.6252284637869221
72,experiencedoverallchangetime,order,0.5918297370274862
73,experiencedoverallchangetime,waittime,0.5822966893513998
74,experiencedoverallchangetime,timinglinkinjourneypattern,0.5814782551356724
75,externalid,waittime,0.6102389097213745
76,externalid,time,0.5906206766764323
77,externalid,arrivaltime,0.5879237916734483
78,floorid,layover,0.5870298905806108
79,floorid,lastdayoffset,0.5589005947113037
80,floorid,requeststop,0.5552848747798375
81,footpathequipmentid,blockpart,0.6042726543587698
82,footpathequipmentid,online,0.5960558482578823
83,footpathequipmentid,inlinksequence,0.5885009288787841
84,genericstatus,pointinlinksequence,0.6303537880502096
85,genericstatus,linksequence,0.6278532890424336
86,genericstatus,servicecalendar,0.6187943935394287
87,generictextmessage,blockpart,0.6692426204681396
88,generictextmessage,linksequence,0.6617908979717054
89,generictextmessage,flexibleroute,0.654261032740275
90,geopoint,pointinlinksequence,0.6432864130759726
91,geopoint,railwayjunction,0.6431455612182617
92,geopoint,aviewof,0.6358896294418646
93,guid,in,0.6162020819527763
94,guid,passingtimetimingpoint,0.6087636947631836
95,guid,inscheme,0.5979111790657043
96,height,maximumheadwayinterval,0.573550820350647
97,height,minimumheadwayinterval,0.5546801884969076
98,height,arrivaldayoffset,0.5337191309247699
99,id,flexible,0.6093445354037814
100,id,date,0.590191125869751
101,id,time,0.5894064903259277
102,impairedoverallchangetime,order,0.6113251277378627
103,impairedoverallchangetime,departuredayoffset,0.5796011924743653
104,impairedoverallchangetime,starttime,0.5717149663854528
105,itinerary,scheduledstoppoint,0.8670694020168841
106,itinerary,farepointinjourneypattern,0.6533530995815615
107,itinerary,journey,0.6455718676249186
108,key,accessmode,0.6272284710993532
109,key,passengerconnection,0.611975453116677
110,key,passengerjourney,0.6032025580312691
111,languageid,blockpart,0.6279239654541016
112,languageid,inlinksequence,0.5842625300089518
113,languageid,canalight,0.5782033801078796
114,latitude,arrivaldayoffset,0.5949260538274591
115,latitude,runtime,0.5814616282780966
116,latitude,monitored,0.5584332942962646
117,lengthpos,maximumheadwayinterval,0.6218295442885247
