,source_term,mapped_term,confidence_score
0,accessequipmentid,vehiclemodeid,0.6886870066324869
1,accessequipmentid,allowedlinedirections,0.6271201372146606
2,accessequipmentid,accessmode,0.6263213807886298
3,acronym,linename,0.5373386740684509
4,additionalentry,pointinlinksequence,0.5389225482940674
5,aidbookable,serviceday,0.6012314558029175
6,aidbookable,date,0.5579092502593994
7,aidbookable,available,0.5145962238311768
8,arrivaltime,timelink,0.7285508314768473
9,arrivaltime,time,0.7076672712961832
10,arrivaltime,waittime,0.7039382457733154
11,boardingposition,boardingposition,0.7489956942471591
12,boardingposition,journeypatternruntime,0.6204638537906465
13,boardingposition,journeypart,0.5950132874732321
14,boardingpositionid,vehiclemodeid,0.7097872628106011
15,boardingpositionid,allowedlinedirections,0.5805464386940002
16,boardingpositionid,defaultdeadrunruntime,0.5711846881442599
17,borderpoint,waitpoint,0.7750932375590006
18,borderpoint,timinglinkpointsequence,0.7163151105244955
19,borderpoint,bordercrossing,0.6525544767026548
20,borderpointcode,waitpoint,0.7296655178070068
21,borderpointcode,timinglinkpointsequence,0.6708873907725016
22,borderpointcode,bordercrossing,0.6498631000518799
23,carbonfootprint,defaultservicejourneyruntime,0.6065921783447266
24,carbonfootprint,defaultdeadrunruntime,0.5703275601069132
25,carbonfootprint,deadrunpattern,0.559049646059672
26,center,operatedby,0.5596194267272949
27,center,online,0.5381591320037842
28,center,canalight,0.5288806557655334
29,changepoint,farepointinjourneypattern,0.8484529852867126
30,changepoint,timingpointinjourneypattern,0.8484529852867126
31,changepoint,routepoint,0.7896719773610433
32,checkintime,arrivaltime,0.7311320304870605
33,checkintime,firstdeparturetime,0.7244315147399902
34,checkintime,timelink,0.7193713188171387
35,coachid,date,0.6363699436187744
36,coachid,linename,0.5930581092834473
37,coachid,arrivaldayoffset,0.5568448305130005
38,compartmentid,date,0.6363699436187744
39,compartmentid,linename,0.5930581092834473
40,compartmentid,arrivaldayoffset,0.5568448305130005
41,connection,timinglinkinjourneypattern,0.6705429077148437
42,connection,endsconnection,0.6684569483217986
43,connection,inlinksequence,0.6603331089019775
44,connectiontime,journeypatternruntime,0.8044200539588928
