,source_term,mapped_term,confidence_score
0,accessrightinproduct,offeritemprovider,0.9999999403953552
1,accessrightinproduct,travelexpertprovider,0.9999999403953552
2,accessrightinproduct,fileprovider,0.9999998807907104
3,agencyfareurl,providersignature,1.0000001192092896
4,agencyfareurl,contactinfo,0.8219197988510132
5,agencyfareurl,farebasis,0.7872240543365479
6,agencyid,contactinfo,0.8524544835090637
7,agencyid,bankid,0.7613508701324463
8,agencyid,vendorcode,0.7260257601737976
9,agencyname,name,0.8498988151550293
10,agencyname,statisticaldataprovidername,0.8498988151550293
11,agencyname,transportserviceprovidername,0.8498988151550293
12,agencyphone,offeritemprovider,1.0
13,agencyphone,productprovidername,1.0
14,agencyphone,travelexpertprovider,1.0
15,borderpoint,intermediatestopplace,1.0
16,borderpoint,journey,1.0
17,borderpoint,journeydestination,1.0
18,chargingmoment,duration,0.9999999403953552
19,chargingmoment,routelinksegmentnumber,0.9999999403953552
20,chargingmoment,datetime,0.8706915378570557
21,displayassignment,itinerarydestination,1.0
22,displayassignment,itineraryorigin,1.0
23,displayassignment,locationcode,1.0
24,distribution,class,0.6871336698532104
25,distribution,classtype,0.6871336698532104
26,distribution,prmparameter,0.6360350251197815
27,distributionassignment,model,1.0
28,distributionassignment,class,0.5293956995010376
29,distributionchannel,inputparameter,0.752325177192688
30,distributionchannel,classtype,0.6064088344573975
31,fareframe,bookingelement,1.0000001192092896
32,fareframe,bookingstatus,1.0000001192092896
33,fareframe,paymentstatus,1.0000001192092896
34,fareprice,mileage,1.0
35,fareprice,optionvalue,1.0
36,fareprice,paymentprogress,1.0
37,fareproduct,offeritemprovider,1.0
38,fareproduct,travelexpertprovider,1.0
39,fareproduct,customerfeedback,0.8917889595031738
40,fareproductprice,applicablefee,1.0
41,fareproductprice,customerid,1.0
42,fareproductprice,mileage,1.0
43,farescheduledstoppoint,destination,1.0
44,farescheduledstoppoint,itinerarydestination,1.0
45,farescheduledstoppoint,journey,1.0
46,faresection,customerid,1.0
47,faresection,paymentcardtype,1.0
48,faresection,tokenid,0.8996184666951498
49,farestructureelement,vehicleoperator,0.9999999403953552
50,farestructureelement,farebasis,0.6825220584869385
51,farestructureelement,reference,0.5209912061691284
52,farestructureelementinsequence,format,0.9999999403953552
53,farestructureelementinsequence,incity,0.8576430678367615
54,farestructureelementinsequence,farebasis,0.8575639128684998
55,farestructureelementprice,applicablefee,1.0
56,farestructureelementprice,mileage,1.0
57,farestructureelementprice,optionvalue,1.0
58,farestructurefactor,prmtypetype,1.0
59,farestructurefactor,consumptionmediumtype,1.0
60,farestructurefactor,preferencerank,0.8263943195343018
61,farestructurefactorref,model,1.0
62,farestructurefactorref,farebasis,0.8575639128684998
63,farestructurefactorref,algorithm,0.752763032913208
64,farezone,customerid,1.0
65,farezone,paymentcardtype,1.0
66,farezone,tokenid,0.9109582901000977
67,flexibleline,journey,1.0
68,flexibleline,journeydestination,1.0
69,flexibleline,referencepassenger,1.0
70,flexibleroute,metajourneydestination,1.0000001192092896
71,flexibleroute,departure,1.0
72,flexibleroute,intermediatestopplace,1.0
73,flexibleservice,coachstation,0.9999999403953552
74,flexibleservice,tramstop,0.9999999403953552
75,flexibleservice,passenger,0.9183692932128906
76,fulfilmentmethod,preferredcarriertype,1.0
77,fulfilmentmethod,context,0.7775027751922607
78,fulfilmentmethod,validitycontext,0.7775027751922607
79,generalframe,availableclass,1.0
80,generalframe,prmtypetype,1.0
81,generalframe,type,1.0
82,geographical,location,1.0
83,geographical,networkstatistics,1.0
84,geographicalinterval,radius,1.0000001192092896
85,geographicalinterval,datetime,1.0
86,geographicalinterval,density,1.0
87,geographicalintervalprice,radius,1.0000001192092896
88,geographicalintervalprice,timestamp,1.0000001192092896
89,geographicalintervalprice,value,1.0000001192092896
90,geographicalstructurefactor,consumptionmediumtype,1.0
91,geographicalunit,codetype,1.0
92,geographicalunit,timeunit,0.8164597352345785
93,infrastructureframe,ancillaryservice,1.0
94,infrastructureframe,paymentmode,0.7625965476036072
95,infrastructureframe,servicequality,0.7625965476036072
96,interchange,intermediatestopplace,1.0
97,interchange,departure,0.9432731866836548
98,interchange,passengerid,0.7650535702705383
99,interchangerule,intermediatestopplace,1.0
100,interchangerule,mileage,1.0
101,interchangerule,stopplace,1.0
102,journey,atstopplace,1.0000001192092896
103,journey,intermediatestopplace,1.0000001192092896
104,journey,stopplace,1.0000001192092896
105,journeyinterchange,airtransport,1.0
106,journeyinterchange,ancillaryservice,1.0
107,journeyinterchange,bustransport,1.0
108,journeymeeting,atstopplace,1.0000001192092896
109,journeymeeting,stopplace,1.0000001192092896
110,journeymeeting,bookingcapability,1.0
111,journeypart,stopplace,1.0000001192092896
112,journeypart,atstopplace,1.0
113,journeypart,customerid,1.0
114,journeypartcouple,atstopplace,1.0000001192092896
115,journeypartcouple,stopplace,1.0000001192092896
116,journeypartcouple,customerid,1.0
117,journeypattern,destination,1.0
118,journeypattern,itineraryoffer,1.0
119,journeypattern,itineraryofferitem,1.0
120,journeys,reftravelepisode,1.0
121,journeys,travelepisode,0.8008214235305786
122,journeys,travelepisode,0.8008214235305786
123,line,journey,1.0
124,line,journeydestination,1.0
125,line,referencepassenger,1.0
126,link,accesssystemid,1.0
127,link,intermediatestopplace,1.0
128,link,refroutelink,0.889644463857015
129,linkinlinksequence,passengername,1.0
130,linkinlinksequence,servicetype,1.0
131,linkinlinksequence,incity,0.8576430678367615
132,linkref,refroutelink,0.6982155799865722
133,linkref,reflocationquery,0.6671100096269087
134,linkref,refpassenger,0.6638369560241699
135,linksequence,accesssystemid,1.0
136,linksequence,edge,1.0
137,linksequence,graph,1.0
138,linksequenceref,model,0.9999999403953552
139,linksequenceref,algorithm,0.835175355275472
140,linksequenceref,routelinksegmentnumber,0.7339606285095215
141,logicaldisplay,messagetype,0.5939192771911621
142,organisation,issuancecountry,1.0
143,organisationref,algorithm,0.5055260062217712
144,parkingchargeband,payload,0.5357276797294617
145,parkingprice,fareproductdescription,1.0
146,parkingprice,mileage,1.0
147,parkingprice,optionvalue,1.0
148,parkingtariff,carrentalstation,1.0
149,parkingtariff,restriction,1.0
150,parkingtariff,diningcaravailability,0.852701723575592
151,passengerinformationequipment,mobilityrequest,1.0
152,passengerinformationequipment,availabilitysolution,0.9999999403953552
153,passengerinformationequipment,reftransportserviceprovider,0.9218407869338989
154,place,key,1.0
155,place,locationname,0.8600258231163025
