,source_term,mapped_term,confidence_score
0,accessrightinproduct,paymentinformation,0.7112022889863461
1,accessrightinproduct,datetime,0.7089600129560991
2,accessrightinproduct,onlinebooking,0.6962803831887902
3,agencyfareurl,transportationserviceprovidername,0.6985967108543883
4,agencyfareurl,cardholdername,0.6949302477714343
5,agencyfareurl,paymentinformation,0.6922767875120812
6,agencyid,bankid,0.6244081315540132
7,agencyid,transportationserviceprovidername,0.6160969011711351
8,agencyid,transportationserviceprovidercode,0.611901530513057
9,agencylang,customerfeedback,0.5967378616333008
10,agencylang,transportationserviceprovidercode,0.5856058597564697
11,agencylang,transportationserviceprovidername,0.5746952295303345
12,agencyname,errorname,0.6671548570905413
13,agencyname,linename,0.6366763644748263
14,agencyname,name,0.6204188452826606
15,agencyphone,transportationserviceprovidername,0.6730627244518649
16,agencyphone,transportationserviceprovidercode,0.6678608417510986
17,agencyphone,customerfeedback,0.6423482259114583
18,agencyurl,userpassword,0.669558048248291
19,agencyurl,signature,0.6631418425461342
20,agencyurl,format,0.6476098152056132
21,borderpoint,departure,0.6601992775412167
22,borderpoint,operating,0.646031379699707
23,borderpoint,referencepassenger,0.6330994878496442
24,cell,payload,0.5619708574735202
25,cell,exitvalidationcap,0.5592028498649597
26,cell,payloadstate,0.5574725866317749
27,chargingmoment,customerfeedback,0.6022726467677525
28,chargingmoment,incity,0.5965877739158837
29,chargingmoment,vehicleoperator,0.5957210294661983
30,direction,startingat,0.6368090311686198
31,direction,ontransportline,0.6325699687004089
32,direction,departure,0.6189326806501909
33,displayassignment,inputmessagemapping,0.6809158855014377
34,displayassignment,outputmessagemapping,0.6805800331963433
35,displayassignment,inputmessagemapper,0.678610008883189
36,distribution,kpiinputparameter,0.6653378460858319
37,distribution,prmparameter,0.6468194935419788
38,distribution,kpiscoring,0.6252092911025225
39,distributionassignment,model,0.6984110775156918
40,distributionassignment,routelinksegmentnumber,0.6177053684141578
41,distributionassignment,algorithm,0.6126603603363037
42,distributionchannel,inputmessagemapping,0.6825035640171596
43,distributionchannel,inputmessagemapper,0.6812185892244664
44,distributionchannel,outputmessagemapping,0.6768994080392938
45,fareframe,paymentmean,0.6690467746778467
46,fareframe,paymentcardtype,0.6606153469641232
47,fareframe,tokenid,0.6571258946468955
