,source_term,mapped_term,confidence_score
0,accessrightinproduct,productprovidername,0.6423755373273577
1,accessrightinproduct,displayableproductdescription,0.6382277458906174
2,accessrightinproduct,productdescription,0.6376723448435465
3,agencies,individualtransport,0.6223798990249634
4,agencies,transportationservice,0.6223798990249634
5,agencies,diningcaravailability,0.5844742059707642
6,agencyfareurl,onlinebooking,0.6042252268110003
7,agencyfareurl,bookingclass,0.5948108945574079
8,agencyfareurl,datetime,0.5912874341011047
9,agencyid,bankid,0.6660184860229492
10,agencyid,datetime,0.6363698840141296
11,agencyid,eventdatetime,0.6363698840141296
12,agencylang,minimumconnectiontime,0.5693540573120117
13,agencylang,bankid,0.5658605098724365
14,agencylang,userid,0.5658605098724365
15,agencyname,cardholdername,0.7233911355336508
16,agencyname,cityname,0.7206331253051758
17,agencyname,errorname,0.7159934043884277
18,agencyphone,username,0.6495725711186727
19,agencyphone,streetaddress,0.6436091065406799
20,agencyphone,bankname,0.6381224393844604
21,agencytimezone,username,0.666912317276001
22,agencytimezone,commercialname,0.5906791289647421
23,agencytimezone,productdescription,0.5868405103683472
24,agencyurl,username,0.5923017024993896
25,agencyurl,bankid,0.5768501162528992
26,agencyurl,userid,0.5634439063794685
27,borderpoint,endpoint,0.6931372582912445
28,borderpoint,fortransportmode,0.6264665722846985
29,borderpoint,fortransportationservice,0.5741063356399536
30,cell,globalquotation,0.6232160925865173
31,cell,preferredcarriertype,0.5968602498372396
32,cell,reference,0.5826156139373779
33,chargingmoment,timeunit,0.7107979456583658
34,chargingmoment,minimumelapsedtraveltime,0.7104229927062988
35,chargingmoment,averageelapsedtraveltime,0.7051564852396647
36,connections,triplestoreconnection,0.6354731718699137
37,connections,routelink,0.6163381576538086
38,connections,routelinksegment,0.6073336968055139
39,direction,forroutelink,0.7966395616531372
40,direction,nextroutelink,0.7966395616531372
41,direction,formetaroute,0.5932790637016296
42,distribution,diningcaravailability,0.6493033170700073
43,distribution,newspapersavailability,0.6493033170700073
44,distribution,travelexpertontologyschemaimporter,0.5879999399185181
