,source_term,mapped_term,confidence_score
0,accessrightinproduct,available,0.7952846810837423
1,accessrightinproduct,requeststop,0.7565759979518114
2,accessrightinproduct,date,0.7260546093144693
3,agencyfareurl,date,0.7844725049231663
4,agencyfareurl,available,0.7025905443274456
5,agencyfareurl,requeststop,0.68084716796875
6,agencyid,available,0.7496229439727531
7,agencyid,layover,0.7209831426951511
8,agencyid,requeststop,0.7110894186454907
9,agencylang,date,0.5801102182139521
10,agencylang,available,0.5663449764251709
11,agencylang,layover,0.56089270742316
12,agencyname,date,0.6918453500290548
13,agencyname,lastdayoffset,0.6339512604933518
14,agencyname,linename,0.5969554298802426
15,agencyphone,available,0.6920743283972276
16,agencyphone,requeststop,0.6754834916856554
17,agencyphone,date,0.6450491587320963
18,agencyurl,date,0.6883500309313758
19,agencyurl,requeststop,0.6050542612544826
20,agencyurl,available,0.5982333592006138
21,anytype,linksequence,0.792074093148728
22,anytype,servicejourneypattern,0.7827011502478733
23,anytype,route,0.7784644462754473
24,borderpoint,passengerconnection,0.7028229739687858
25,borderpoint,canalight,0.6660106287593335
26,borderpoint,blockpart,0.6586683398311578
27,cell,vehiclejourneys,0.6153233391898019
28,cell,in,0.5885609944661458
29,cell,passingtimetimingpoint,0.5818849802017212
30,chargingmoment,flexible,0.8164949653562436
31,chargingmoment,available,0.7520821311257102
32,chargingmoment,runtime,0.6934178885767015
33,connections,timinglink,0.4254704124049136
34,connections,vehicle,0.4243791596228335
35,connections,journeypattern,0.4201297025068091
36,direction,directiontype,0.8210579738144047
37,direction,passingtimetimingpoint,0.8179719783057852
38,direction,defaultinterchange,0.8126457781831095
39,displayassignment,inlinksequence,0.8376642022251097
40,displayassignment,vehiclemodeid,0.812044317072088
41,displayassignment,timinglinkinjourneypattern,0.7893415719024406
42,distribution,dynamicstopassignment,0.808372371452899
43,distribution,linksequence,0.7720233917236328
44,distribution,stopassignment,0.7503046209161932
45,distributionassignment,runtime,0.8212364133724497
46,distributionassignment,timinglinkpointsequence,0.7852969209024728
47,distributionassignment,minimumheadwayinterval,0.7623789133119189
48,distributionchannel,inlinksequence,0.8473125489290095
49,distributionchannel,vehiclemodeid,0.8058966014010847
50,distributionchannel,timinglinkinjourneypattern,0.7441301582273373
51,elements,journeypattern,0.6849836682850043
52,elements,pointinlinksequence,0.6760381303932581
53,elements,timinglink,0.6530654771568104
54,fareframe,inscheme,0.7789666041854985
55,fareframe,vehiclejourney,0.7765852610270182
56,fareframe,timinglinkinjourneypattern,0.7660888797980695
57,fareprice,operatingperiod,0.6958762649941234
58,fareprice,trip,0.691912199321546
59,fareprice,passengerjourney,0.6824327521367904
60,fareproduct,available,0.7414565005544889
61,fareproduct,date,0.7309436640463585
62,fareproduct,requeststop,0.7037892428311434
63,fareproductprice,on,0.6984466294110832
64,fareproductprice,onroute,0.6972592566624161
65,fareproductprice,passengerjourney,0.6814774081238315
66,fareproducts,route,0.4183555539974496
67,fareproducts,vehicle,0.4021292850889009
68,fareproducts,vehiclejourney,0.3902530825867945
69,farescheduledstoppoint,scheduledstoppoint,0.7856425766117316
70,farescheduledstoppoint,vehiclejourneyroute,0.7604712494148695
71,farescheduledstoppoint,originstop,0.7567221542884564
72,faresection,destinationstop,0.7857353273502066
73,faresection,journeypatternruntime,0.7651997085445184
74,faresection,day,0.758550092208484
75,farestructureelement,order,0.8173819297601369
