,source_term,mapped_term,confidence_score
0,accessrightinproduct,flexible,0.6498570961527305
1,accessrightinproduct,available,0.640557355605639
2,accessrightinproduct,waitpoint,0.6243435995919364
3,agencyfareurl,flexible,0.6108284602089534
4,agencyfareurl,available,0.5878618074500043
5,agencyfareurl,layover,0.5852967526050324
6,agencyid,flexible,0.5663365125656128
7,agencyid,layover,0.5611706574757894
8,agencyid,waittime,0.5607662995656332
9,agencylang,monitored,0.5431091785430908
10,agencyname,linename,0.6366763644748263
11,agencyname,date,0.5400406718254089
12,agencyname,flexible,0.5382808446884155
13,agencyphone,flexible,0.6029073927137587
14,agencyphone,requeststop,0.590475835298237
15,agencyphone,layover,0.5785031848483615
16,agencyurl,flexible,0.5807799696922302
17,agencyurl,available,0.5690513090653853
18,agencyurl,timinglinkpointsequence,0.5651032129923502
19,anytype,vehiclejourney,0.6564734885895174
20,anytype,route,0.645787166154131
21,anytype,journeypart,0.641761456907185
22,borderpoint,scheduledstoppoint,0.6511798271766076
23,borderpoint,passengerconnection,0.6229727051474832
24,borderpoint,journeypatternpoint,0.6207457322340745
25,cell,defaultdeadrunruntime,0.5321732759475708
26,cell,in,0.5310553312301636
27,cell,vehiclemodeid,0.519572377204895
28,chargingmoment,flexible,0.6090822885202807
29,chargingmoment,order,0.6057665944099426
30,chargingmoment,waitpoint,0.5924502839433387
31,connections,pointinlinksequence,0.3898816591733462
32,connections,timinglink,0.3883347109139684
33,connections,journeypattern,0.38413966535085653
34,direction,directiontype,0.6497372977341278
35,direction,at,0.6378507781447026
36,direction,startingat,0.6368090311686198
37,displayassignment,inlinksequence,0.6765190887451172
38,displayassignment,vehiclemodeid,0.6337910702354029
39,displayassignment,timinglinkinjourneypattern,0.6331868226500763
40,distribution,monitoredvehiclejourney,0.624627431233724
41,distribution,daytypeassignment,0.6113680144886912
42,distribution,vehicletype,0.6089115142822266
43,distributionassignment,timelink,0.6497929120304609
44,distributionassignment,timinglinkpointsequence,0.6327078945665474
45,distributionassignment,timinglinkinjourneypattern,0.6178832054138184
46,distributionchannel,inlinksequence,0.6873793209300322
47,distributionchannel,timinglink,0.6509344918387276
48,distributionchannel,timinglinkinjourneypattern,0.6451509537235383
49,elements,line,0.5951825891222273
50,elements,line-old,0.5946651791769361
51,elements,route,0.5930959465456944
52,fareframe,vehiclejourneypart,0.628393622005687
53,fareframe,vehiclejourney,0.6255790091849662
54,fareframe,passengerjourney,0.6175399675761184
55,fareprice,vehiclejourney,0.6020315933227539
56,fareprice,passengerjourney,0.5958272182580197
57,fareprice,timinglinkinjourneypattern,0.593388835589091
58,fareproduct,available,0.5988343672318892
59,fareproduct,waitpoint,0.5962142944335938
60,fareproduct,flexible,0.5933300697640197
61,fareproductprice,stopuse,0.6288453936576843
62,fareproductprice,operatingperiod,0.594943408308358
63,fareproductprice,canboard,0.5818036079406739
64,fareproducts,stoppointinjourneypattern,0.3773072361946106
65,fareproducts,trip,0.3398650562061983
66,fareproducts,vehicle,0.33590333461761473
67,farescheduledstoppoint,scheduledstoppoint,0.6708467656915839
68,farescheduledstoppoint,passengerjourney,0.6519139607747396
69,farescheduledstoppoint,stopuse,0.6486317864779768
70,faresection,destinationstop,0.6247162567941766
71,faresection,journeypatternruntime,0.6226245273243297
72,faresection,passengerjourney,0.6203029987423919
73,farestructureelement,layover,0.6103567679723104
74,farestructureelement,runtime,0.5977201648786956
75,farestructureelement,order,0.5921893400304458
76,farestructureelementinsequence,runtime,0.6833721029347387
77,farestructureelementinsequence,timinglinkpointsequence,0.6640948208895596
78,farestructureelementinsequence,timinglinkinjourneypattern,0.6352673602360551
79,farestructureelementprice,operatingperiod,0.6013135043057528
80,farestructureelementprice,at,0.5906209512190386
81,farestructureelementprice,onroute,0.5871079365412394
82,farestructurefactor,roadaddress,0.6009319623311361
83,farestructurefactor,arrivaltime,0.6000722476414272
84,farestructurefactor,monitoredvehiclejourney,0.595875715598082
85,farestructurefactorref,timinglinkinjourneypattern,0.6054248412450155
86,farestructurefactorref,runtime,0.6020788465227399
87,farestructurefactorref,arrivaltime,0.5906438827514648
88,farestructurefactors,journeypattern,0.4106235956741591
89,farestructurefactors,scheduledstoppoint,0.4025080594149503
90,farestructurefactors,stop-use-type),0.3891790718867861
91,farezone,vehiclejourneys,0.6288258379155939
92,farezone,canboard,0.5946404000987178
93,farezone,vehiclejourney,0.5878197806222099
94,farezones,line-old,0.5623952746391296
95,farezones,line,0.5603290525349705
96,farezones,vehiclejourney,0.553604245185852
97,flexibleline,vehiclejourney,0.6214531055395154
98,flexibleline,online,0.6136645958071849
99,flexibleline,routeonline,0.6135643247574095
100,flexibleroute,vehiclejourneyroute,0.64080472425981
101,flexibleroute,stopuse,0.6383635605437846
102,flexibleroute,passengerjourney,0.6318625211715698
103,flexibleservice,flexibleline,0.6674339070039637
104,flexibleservice,flexiblepoint,0.6552996279588387
105,flexibleservice,flexibleroute,0.654184205191476
106,frames,pointinlinksequence,0.6367685504988128
107,frames,journeypattern,0.61624449740174
108,frames,route,0.6003398257548324
109,fulfilmentmethod,timinglinkinjourneypattern,0.5909652094687184
110,fulfilmentmethod,scheduledstoppoint,0.5799849373953683
111,fulfilmentmethod,passengerconnection,0.5684438705444336
112,generalframe,daytypeassignment,0.5925472378730774
113,generalframe,passingtimetimingpoint,0.5921768934830375
114,generalframe,inlinksequence,0.5920988415914868
115,geographical,conceptscheme,0.5977338277376615
116,geographical,connection,0.5954709625244141
117,geographical,concept,0.5774474143981934
118,geographicalinterval,departuredayoffset,0.6314765681391177
119,geographicalinterval,maximumheadwayinterval,0.6209890232529751
120,geographicalinterval,timinglinkpointsequence,0.6189708113670349
121,geographicalintervalprice,departuredayoffset,0.6406618084823876
122,geographicalintervalprice,maximumheadwayinterval,0.6110838839882299
123,geographicalintervalprice,timelink,0.5992319583892822
124,geographicalstructurefactor,timinglinkinjourneypattern,0.5764627456665039
125,geographicalstructurefactor,bordercrossing,0.5448100566864014
126,geographicalstructurefactor,timelink,0.5253347754478455
127,geographicalunit,runtime,0.6071256995201111
128,geographicalunit,timinglinkinjourneypattern,0.5620397925376892
129,geographicalunit,timinglinkpointsequence,0.5620397925376892
130,infrastructureframe,timinglinkinjourneypattern,0.6011242113615337
131,infrastructureframe,passengerconnection,0.6008177807456568
132,infrastructureframe,onroute,0.6007295846939087
133,interchange,canboard,0.6694995335170201
134,interchange,passengerconnection,0.6580545932431764
135,interchange,canalight,0.6549834357367621
136,interchangerule,directiontypeold,0.6151963436242306
137,interchangerule,defaultinterchange,0.5973832503609036
138,interchangerule,scheduledstoppoint,0.5969582285199847
139,journey,passengerjourney,0.6938172761384431
140,journey,vehiclejourney,0.6814771829192171
141,journey,journeypatternpoint,0.6615189615885416
142,journeyinterchange,journey,0.7064741715140964
143,journeyinterchange,journeypart,0.6912610453944052
144,journeyinterchange,farepointinjourneypattern,0.6872861610268647
145,journeymeeting,passengerjourney,0.6618605669806985
146,journeymeeting,vehiclejourney,0.6483497181157957
147,journeymeeting,on,0.6473905629125135
148,journeypart,vehiclejourneypart,0.7084617978050596
149,journeypart,vehiclejourney,0.6712433333249436
150,journeypart,passengerjourney,0.6692070431179471
151,journeypartcouple,vehiclejourneypart,0.6564233369916399
152,journeypartcouple,canalight,0.6435354868570964
153,journeypartcouple,blockpart,0.641931372173762
154,journeypattern,journeypatternpoint,0.6808908869711201
155,journeypattern,journeypatternruntime,0.6668103065019773
156,journeypattern,holidaytype,0.6424872299720501
157,journeypatterns,journeypattern,0.4260687997408002
158,journeypatterns,pointinlinksequence,0.4125170868222076
159,journeypatterns,timinglink,0.4080912143369264
160,journeys,vehiclejourneys,0.7107500260876071
161,journeys,season,0.596363279554579
162,journeys,canboard,0.5368993832514837
163,line,online,0.6324104070663452
164,line,routeonline,0.6297287296604466
165,line,accessmode,0.609640896320343
166,lines,scheduledstoppoint,0.5736274719238281
167,lines,servicecalendar,0.5257552266120911
168,lines,deadrun,0.5239212512969971
