,source_term,mapped_term,confidence_score
0,accessrightinproduct,arrivaldayoffset,0.5999679565429688
1,accessrightinproduct,date,0.5935945510864258
2,accessrightinproduct,timinglinkpointsequence,0.5853230953216553
3,agencies,trafficcontrolpoint,0.5852546691894531
4,agencies,accesszone,0.5686660706996918
5,agencies,wirejunction,0.5665014982223511
6,agencyfareurl,date,0.5912874341011047
7,agencyfareurl,timelink,0.5187773704528809
8,agencyid,date,0.6363699436187744
9,agencyid,linename,0.5602930188179016
10,agencyid,arrivaldayoffset,0.5568448305130005
11,agencylang,waitpoint,0.556492805480957
12,agencylang,linename,0.5562204122543335
13,agencylang,timelink,0.5176509022712708
14,agencyname,linename,0.6805231475830078
15,agencyname,arrivaldayoffset,0.5398739576339722
16,agencyname,date,0.5298624038696289
17,agencyphone,arrivaldayoffset,0.6170629262924194
18,agencyphone,timelink,0.5965609550476074
19,agencyphone,date,0.5837750434875488
20,agencytimezone,runtime,0.5732452869415283
21,agencytimezone,date,0.541649341583252
22,agencyurl,runtime,0.523103396097819
23,agencyurl,timelink,0.5163953304290771
24,agencyurl,date,0.5070847868919373
25,anytype,servicejourneypattern,0.7850601474444072
26,anytype,timingpoint,0.7693729060036796
27,anytype,timinglink,0.7522354180162603
28,borderpoint,passingtimetimingpoint,0.7417076428731283
29,borderpoint,scheduledstoppoint,0.7405791282653809
30,borderpoint,journeypatternpoint,0.7258408069610596
31,cell,vehiclejourneyruntimeoverrides,0.5757840871810913
32,cell,defaultdeadrunruntime,0.5688236554463705
33,cell,journeypatternadvertisedfor,0.5623641014099121
34,chargingmoment,arrivaltime,0.7075390815734863
35,chargingmoment,firstdeparturetime,0.700838565826416
36,chargingmoment,starttime,0.6986318826675415
37,connections,defaultconnection,0.6426568031311035
38,connections,connection,0.6232845306396484
39,connections,timinglink,0.6173332214355469
40,direction,followsjourneypattern,1.0000001192092896
41,direction,journeypatternadvertisedfor,0.796639621257782
42,direction,servicejourneyusingpattern,0.796639621257782
43,displayassignment,destinationdisplay,0.7120664303119366
44,displayassignment,daytypeassignment,0.7067533220563617
45,distribution,postaladdress,0.5233975052833557
