,source_term,mapped_term,confidence_score
0,attribute,inputparameter,1.0
1,attribute,output,1.0
2,attribute,prmtypetype,1.0
3,bookingagencyname,itineraryorigin,0.9999999403953552
4,bookingagencyname,productprovider,0.9104564984639486
5,bookingagencyname,dataprovider,0.8587676286697388
6,bookingdeadline,messagetitle,1.0
7,bookingdeadline,travelexpertcode,1.0
8,bookingdeadline,enddatetime,0.9999999403953552
9,bookinginfo,atstopplace,1.0000001192092896
10,bookinginfo,rollmenu,1.0000001192092896
11,bookinginfo,fareproductevent,1.0
12,bookinginforequest,atstopplace,1.0000001192092896
13,bookinginforequest,journeydestination,1.0000001192092896
14,bookinginforequest,journeyorigin,1.0000001192092896
15,bookinginforequeststructure,customizedofferitem,1.0000001192092896
16,bookinginforequeststructure,travelshopperid,1.0000001192092896
17,bookinginforequeststructure,itineraryofferitem,0.9027926127115885
18,bookinginforesponse,journeydestination,1.0000001192092896
19,bookinginforesponse,journeyorigin,1.0000001192092896
20,bookinginforesponse,metajourneydestination,1.0000001192092896
21,bookinginforesponsestructure,customizedofferitem,1.0000001192092896
22,bookinginforesponsestructure,response,1.0000001192092896
23,bookinginforesponsestructure,shoppingrequestcontext,1.0000001192092896
24,bookinginforesult,journeydestination,1.0000001192092896
25,bookinginforesult,journeyorigin,1.0000001192092896
26,bookinginforesult,metajourneydestination,1.0000001192092896
27,bookinginforesultstructure,itineraryoffer,1.0
28,bookinginforesultstructure,kpievaluationoutput,1.0
29,bookinginforesultstructure,kpiinputparameter,1.0
30,bookinginfostructure,bookingelement,0.8177728652954102
31,bookinginfostructure,bookingstatus,0.8163022994995117
32,bookinginfostructure,itinerary,0.7909706830978394
33,bookingurl,travelexpertcode,1.0
34,bookingurl,paymentinformation,0.9999999403953552
35,bookingurl,travelexpertprovider,0.8499777913093567
36,code,transportationserviceprovidercode,1.0
37,code,transportserviceprovidercode,1.0
38,code,code,0.9933321634928386
39,condition,context,1.0
40,condition,optionvalue,1.0
41,condition,prmtypetype,1.0
42,destination,endpoint,1.0
43,destination,endstopplace,1.0
44,destination,journey,1.0
45,destinationstoppointref,journey,1.0
46,destinationstoppointref,metajourney,1.0
47,destinationstoppointref,ontransportline,1.0
48,destinationtext,dataprovider,1.0
49,destinationtext,inputmessagemapping,1.0
50,destinationtext,messagetype,1.0
51,deviation,value,1.0
52,deviation,errormessage,0.8659972548484802
53,deviation,errorname,0.8333859443664551
54,directionhint,searchoption,1.0
55,directionhint,metaroute,0.5890348553657532
56,distance,refstopplace,0.9999999403953552
57,duration,routelinksegmentnumber,0.9999999403953552
58,duration,duration,0.9434099833170573
59,duration,timezoneoffset,0.9089463949203491
60,endtime,enddatetime,0.8999579747517904
61,endtime,duration,0.8938086628913879
62,endtime,routelinksegmentnumber,0.8938086628913879
63,errormessage,messagetype,0.8131696701049804
64,errormessage,inputmessagemapper,0.7701072011675153
