,source_term,mapped_term,confidence_score
0,altitude,scheduledstoppoint,0.5367175340652466
1,altitude,canalight,0.5342288017272949
2,altitude,blockpart,0.5227898359298706
3,anytype,linksequence,0.6578808909038819
4,anytype,timinglinkinjourneypattern,0.6263983649837526
5,anytype,timinglink,0.617756326300505
6,attribute,inlinksequence,0.6398048860984936
7,attribute,madeupof,0.6304033874834656
8,attribute,trip,0.6266038531348819
9,bearing,belongingto,0.6100075690726924
10,bearing,inlinksequence,0.607814259356763
11,bearing,aviewof,0.5996289354689577
12,bookingagencyname,trip,0.6403066714604696
13,bookingagencyname,vehiclejourneyroute,0.6017493605613708
14,bookingagencyname,daytypeassignment,0.6011722087860107
15,bookingdeadline,available,0.5994101004167036
16,bookingdeadline,requeststop,0.5976924896240234
17,bookingdeadline,date,0.5682276089986166
18,bookinginfo,on,0.6494682109461422
19,bookinginfo,primarilyadvertisedwith,0.5973712776646469
20,bookinginfo,journeypatternadvertisedfor,0.5973712776646469
21,bookinginforequest,on,0.616363892188439
22,bookinginforequest,destinationdisplay,0.6117574419294085
23,bookinginforequest,journeypatternadvertisedfor,0.6047437832601046
24,bookinginforequeststructure,destinationdisplay,0.6314623696463448
25,bookinginforequeststructure,farepointinjourneypattern,0.6307399008009169
26,bookinginforequeststructure,journey,0.6112905317737211
27,bookinginforesponse,on,0.6002335244036735
28,bookinginforesponse,stopuse,0.5976784229278564
29,bookinginforesponse,journeypatternruntime,0.5927234644239598
30,bookinginforesponsestructure,monitoredvehiclejourney,0.6108867038380016
31,bookinginforesponsestructure,timinglink,0.6068664193153381
32,bookinginforesponsestructure,pointinlinksequence,0.6011382449756969
33,bookinginforesult,destinationdisplay,0.5995460351308187
34,bookinginforesult,on,0.5880796742993731
35,bookinginforesult,accessmode,0.57788970735338
36,bookinginforesultstructure,roadaddress,0.619681715965271
37,bookinginforesultstructure,address,0.5999096820228978
38,bookinginforesultstructure,operator,0.5959704572504217
