,source_term,mapped_term,confidence_score
0,anytype,route,0.7571966307503837
1,anytype,journeypattern,0.74240813936506
2,anytype,journeypatternruntime,0.7279877305030823
3,attribute,madeusing,0.72601440819827
4,attribute,servicejourneyusingpattern,0.7118048198295363
5,attribute,trip,0.7008160452047985
6,bookingagencyname,aviewof,0.571569561958313
7,bookingagencyname,viewedas,0.5688244104385376
8,bookingagencyname,inlinksequence,0.5578871071338654
9,bookingdeadline,timinglinkpointsequence,0.5233489871025085
10,bookinginfo,at,0.5770705143610636
11,bookinginfo,startingat,0.5770705143610636
12,bookinginfo,prescribing,0.5754369894663492
13,bookinginforequest,allowedlinedirections,0.6072220802307129
14,bookinginforequest,vehiclemodeid,0.592888593673706
15,bookinginforequest,prescribing,0.5842314720153808
16,bookinginforequeststructure,servicejourney,0.6607517340244391
17,bookinginforequeststructure,allowedlinedirections,0.6100520406450544
18,bookinginforequeststructure,pointinlinksequence,0.6031247774759928
19,bookinginforesponse,allowedlinedirections,0.6336541970570883
20,bookinginforesponse,prescribing,0.6191795667012533
21,bookinginforesponse,vehiclemodeid,0.6169391473134359
22,bookinginforesponsestructure,route,0.612873219308399
23,bookinginforesponsestructure,allowedlinedirections,0.6066935539245606
24,bookinginforesponsestructure,pointinlinksequence,0.580041249593099
25,bookinginforesult,allowedlinedirections,0.6198259194691976
26,bookinginforesult,vehiclemodeid,0.599656860033671
27,bookinginforesult,prescribing,0.5930109024047852
28,bookinginforesultstructure,route,0.6201738754908244
29,bookinginforesultstructure,allowedlinedirections,0.6059205191476005
30,bookinginforesultstructure,pointinlinksequence,0.6021535055977958
31,bookinginfostructure,pointinlinksequence,0.6114922761917114
32,bookinginfostructure,allowedlinedirections,0.6085833549499512
33,bookinginfostructure,postaladdress,0.5839811960856119
34,bookingurl,linename,0.5237765312194824
35,bookingurl,timelink,0.5184115171432495
36,code,runtime,0.5665703217188517
37,code,linename,0.5076553821563721
38,condition,defaultdeadrunruntime,0.6069073677062988
39,condition,directiontypeold,0.5884335041046143
40,condition,prescribing,0.5812512636184692
41,datedjourneystructure,rhythmicaljourneygroup,0.7313744000026158
42,datedjourneystructure,datedblock,0.7248290777206421
43,datedjourneystructure,timingpointinjourneypattern,0.714522157396589
44,datedservicegroup,headwayjourneygroup,1.0
45,datedservicegroup,journeyfrequencygroup,0.7609215974807739
46,datedservicegroup,servicejourney,0.7424676418304443
47,deparrtime,timelink,0.5588624954223633
48,deparrtime,runtime,0.5225811004638672
49,deparrtime,linename,0.5204838275909424
50,destination,onroute,0.6906637079575482
51,destination,destinationstop,0.6745575991543856
52,destination,destinationdisplay,0.6708224773406982
53,destinationstoppointref,passingtimetimingpoint,0.7013469537099203
54,destinationstoppointref,destinationdisplay,0.6966385160173688
55,destinationstoppointref,destinationstop,0.6961795943123954
56,destinationtext,destinationstop,0.7043625513712565
57,destinationtext,destinationdisplay,0.7004035313924154
58,destinationtext,vehiclemodeid,0.6021207968393961
59,directionhint,directiontype,0.7607688426971435
60,directionhint,directiontypeold,0.7123748302459717
61,directionhint,aviewof,0.5748994648456573
62,distance,passengerconnection,0.5821682214736938
63,distance,vehiclejourneypart,0.5805361270904541
64,distance,allowedlinedirections,0.571963906288147
65,duration,minimumheadwayinterval,0.531651496887207
66,duration,time,0.525963306427002
67,endtime,time,0.7570955103093927
68,endtime,arrivaltime,0.7212426066398621
69,endtime,distancefromstart,0.7209099928538004
70,errormessage,viewedas,0.5607063273588817
71,errormessage,startingat,0.5321957468986511
72,errormessage,endingat,0.5321957468986511
73,errormessagestructure,accesszone,0.5990064144134521
74,errormessagestructure,timingpointinjourneypattern,0.5876978635787964
75,errormessagestructure,timedemandtype,0.5841928720474243
76,exclude,lastdayoffset,0.5244001547495524
77,exclude,arrivaldayoffset,0.5187391042709351
78,exclude,departuredayoffset,0.5187391042709351
79,facilitydescription,destinationdisplay,0.7568405866622925
80,facilitydescription,followsdeadruntime,0.6275461815021657
81,facilitydescription,composedof,0.6145033858440541
82,facilitystructure,servicefacilityset,0.7142396545410157
83,facilitystructure,vehiclejourney,0.607295902662499
84,facilitystructure,parkingpoint,0.5069668292999268
85,farezone,onroute,0.8329493204752604
86,farezone,routeonline,0.8018355369567871
87,farezone,journeypatternpoint,0.7896401286125183
88,farezonelistinareastructure,route,0.8112947245438893
89,farezonelistinareastructure,line-old,0.7909322679042816
90,farezonelistinareastructure,servicejourney,0.7896401286125183
91,farezonestructure,flexibleroute,0.7952407201131185
92,farezonestructure,servicejourneypattern,0.7896401286125183
93,farezonestructure,stoppointinjourneypattern,0.7896401286125183
94,farezonetext,timinglinkinjourneypattern,0.7896401286125183
95,farezonetext,timelink,0.5683231353759766
96,farezonetext,linename,0.5566789309183756
97,fromstopseqnumber,requeststop,0.7128863334655762
98,fromstopseqnumber,linenumber,0.6713504791259766
99,fromstopseqnumber,distancefromstart,0.5758869988577706
100,fromtriplegidref,layover,0.636143684387207
101,fromtriplegidref,timinglinkinjourneypattern,0.6164941787719727
102,generalattributestructure,route,0.5631330609321594
103,generalattributestructure,vehiclejourney,0.5505445679028829
104,generalattributestructure,journeypart,0.5257423520088196
105,geopositionstructure,boardingposition,0.7298888683319091
106,geopositionstructure,dynamicstopassignment,0.5766088366508484
107,geopositionstructure,topographicplace,0.557376503944397
108,individualroutelocationcontextstructure,farepointinjourneypattern,0.7986900806427002
109,individualroutelocationcontextstructure,flexibleroute,0.7601214647293091
110,individualroutelocationcontextstructure,stoppointinjourneypattern,0.7473374009132385
111,individualrouterequeststructure,farepointinjourneypattern,0.7963765462239584
112,individualrouterequeststructure,stoppointinjourneypattern,0.7456021904945374
113,individualrouterequeststructure,templateservicejourney,0.7456021904945374
114,individualtransportoptionsstructure,defaultdeadrunruntime,0.6005525588989258
115,individualtransportoptionsstructure,deadrunpattern,0.5881333351135254
116,individualtransportoptionsstructure,timedemandtype,0.5800864100456238
117,infourl,linename,0.5237765312194824
118,infourl,timelink,0.5140755517142159
119,infourl,date,0.5139487385749817
120,infrastructurefacilitystructure,servicefacilityset,0.7061319732666016
121,infrastructurefacilitystructure,infrastructurepoint,0.6306019331279554
