,source_term,mapped_term,confidence_score
0,anytype,servicejourney,0.8023533821105957
1,anytype,timinglink,0.7772428592046101
2,anytype,timinglinkinjourneypattern,0.7622182369232178
3,attribute,composedof,0.8791573445002239
4,attribute,operatedby,0.835982511440913
5,attribute,workedon,0.8138509790102642
6,bookingdeadline,requeststop,0.8776610195636749
7,bookinginforequeststructure,vehiclejourney,1.0
8,bookinginforequeststructure,vehicle,0.9999999701976776
9,bookinginforequeststructure,vehiclejourney,0.6
10,bookinginforesultstructure,dynamicstopassignment,1.0
11,bookinginforesultstructure,flexiblepoint,1.0
12,bookinginforesultstructure,linksequence,1.0
13,bookingurl,requeststop,0.8776609897613525
14,datedservicegroup,servicejourney,0.5487288951873779
15,datedservicegroup,stoppointinjourneypattern,0.5230933785438537
16,datedservicegroup,vehicle,0.4846089935302734
17,destination,runson,1.0
18,destination,journeypatternruntime,1.0
19,destination,journeypatternmadeupof,1.0
20,destinationstoppointref,daytypeassignment,1.0
21,destinationstoppointref,online,1.0
22,destinationstoppointref,passengerconnection,1.0
23,destinationtext,journeypatternruntime,1.0
24,destinationtext,destinationstop,0.754502534866333
25,destinationtext,originstop,0.7520159085591634
26,directionhint,directiontypeold,0.858613908290863
27,directionhint,directiontype,0.8062216758728027
28,directionhint,destinationdisplay,0.6038985848426819
29,distance,directiontype,0.9999999403953552
30,distance,passingtimetimingpoint,0.9999999403953552
31,distance,vehiclejourneys,0.9999999403953552
32,duration,time,1.0
33,duration,arrivaldayoffset,0.9999999403953552
34,duration,departuredayoffset,0.9999999403953552
35,endtime,layover,1.0
36,endtime,time,0.939319201878139
37,endtime,starttime,0.9158971493060772
38,extension,linenumber,0.7640124956766764
39,extension,linename,0.7083724141120911
40,facilitydescription,vehiclemodeid,1.0
41,facilitydescription,directiontype,0.8836164474487305
42,facilitydescription,holidaytype,0.8594652414321899
43,facilitystructure,servicefacilityset,0.7233520746231079
44,facilitystructure,timinglink,0.6
45,facilitystructure,journeypart,0.5999999642372131
46,farezonelistinareastructure,farepointinjourneypattern,1.0
47,farezonelistinareastructure,pointinjourneypattern,1.0
48,farezonelistinareastructure,stoppointinjourneypattern,1.0
49,farezonestructure,accesszone,0.8406315445899963
50,farezonestructure,stoparea,0.8131457567214966
51,farezonestructure,farepointinjourneypattern,0.7907636165618896
52,generalattributestructure,dynamicstopassignment,1.0
53,generalattributestructure,linksequence,1.0
54,generalattributestructure,vehicle,1.0
55,geoposition,inlinksequence,0.7694213390350342
56,geoposition,in,0.7468362535749163
57,geoposition,inscheme,0.7046422958374023
58,geopositionstructure,boardingposition,0.8384305238723755
59,geopositionstructure,point,0.6000000715255737
60,geopositionstructure,route,0.6000000715255737
61,individualroutelocationcontextstructure,point,1.0
62,individualroutelocationcontextstructure,timinglink,1.0
63,individualroutelocationcontextstructure,servicejourney,1.0
64,individualrouterequeststructure,journeypattern,1.0
65,individualrouterequeststructure,trip,1.0
66,individualrouterequeststructure,vehicle,1.0
67,individualtransportoptionsstructure,point,0.9999999701976776
68,individualtransportoptionsstructure,servicejourney,0.9999999701976776
69,individualtransportoptionsstructure,route,0.9168943961461384
70,infrastructurefacility,passengerconnection,1.0
71,infrastructurefacility,timinglink,1.0
72,infrastructurefacilitystructure,linksequence,1.0
73,infrastructurefacilitystructure,timinglink,1.0
74,infrastructurefacilitystructure,concept,0.9999999403953552
75,interchangeleg,passingtimetimingpoint,1.0
76,interchangeleg,vehiclejourneyroute,1.0
77,interchangeleg,vehiclepassingtime,1.0
78,interchangelegstructure,vehiclejourney,1.0
79,interchangelegstructure,garagepoint,1.0
80,interchangelegstructure,scheduledstoppoint,1.0
81,internationaltextstructure,timinglink,1.0
82,internationaltextstructure,day-type),0.9999999701976776
83,internationaltextstructure,point,0.6000000715255737
84,journeyref,waitpoint,0.8435091972351074
85,journeyref,waittime,0.8435091972351074
86,journeyref,trip,0.8435091972351074
87,journeyrefstructure,servicejourney,0.7694845994313558
88,journeyrefstructure,journeypattern,0.7635774612426758
89,journeyrefstructure,journey,0.761197566986084
90,legdescription,journeypatternpoint,0.9999999403953552
91,legend,destinationstop,1.0
92,legend,originstop,1.0
93,legend,startingat,0.8678944706916809
94,legid,order,0.7180079619089762
95,legstart,destinationstop,1.0
96,legstart,originstop,1.0
97,legstart,scheduledstoppoint,1.0
98,length,daytypeassignment,1.0
99,length,holidaytype,1.0
100,length,passingtimetimingpoint,1.0
