bearing,aviewof
bookinginforequeststructure,oprrator
datedjourneystructure,datedvehiclejourney
datedservicegroup,courseofjourneys
deparrtime,departuretime
destination,destinationstop
destinationstoppointref,daytypeassignment
destinationtext,destinationdisplay
deviation,changeofdestinationdisplay
directionhint,directiontype
duration,runtime
endtime,lastdeparturetime
facilitystructure,servicefacilityset
farezonelistinareastructure,farepointinjourneypattern
farezonestructure,FarePointInJourneyPattern
geoposition,inlinksequence
geopositionstructure,pointinlinksequence
infrastructurefacility,NoMatch
infrastructurefacilitystructure,infrastructurepoint
interchangeleg,defaultinterchange
interchangelegstructure,interchangelegstructure
journeyref,runtime
journeyrefstructure,linksequence
length,startingat
linkdistance,inlinksequence
location,topographicPlace
locationrefstructure,dynamicstopassignment
maxduration,maximumheadwayinterval
minduration,minimumheadwayinterval
mode,modeoftransport
navigationsection,madeupof
operatingdayrefstructure,daytypeassignment
origin,startingat
originstoppointref,originstop
origintext,characterisedby
progress,vehiclejourneypart
progress,vehiclejourneypart
publishedlinename,characterisedby
routedescription,inlinksequence
routestructure,routepoint
service,vehiclejourneyroute
servicedestination,servicejourneypattern
servicegroup,servicejourney
serviceorigingroup,place
servicestatus,servicejourneypattern
starttime,starttime
stoppoint,stopplace
stoppointcode,overriding
stoppointcodetype,requeststop
stopseqintervalgroup,timetabledpassingtime
timeofoperation,runtime
tripleg,vehiclejourneypart
triplegrangegroup,JourneyPatternRunTime
triplegstructure,journeypart
tripstructure,journeypattern
turndescription,directiontypeold
unplanned,requeststop
vehiclefacility,modeoftransport
vehiclefacilitystructure,vehiclemode
vehicleref,vehiclemodeid
